MOVIE_TITLE,MOVIE_ID,RELEASE_DATE,RELEASE_YEAR,yt_releaseDate,yt_releaseYear,yt_likes,yt_views,yt_videoTitle,time_trailerToMovie_Days
made of honor,10761.0,2008-04-30,2008.0,2008-04-11,2008.0,323.0,200394.0,"watch trailer for ""made of honor""",19.0
quantum of solace,10764.0,2008-10-29,2008.0,2008-07-28,2008.0,1594.0,320241.0,watch the new trailer for quantum of solace,93.0
seven pounds,11321.0,2008-12-18,2008.0,2008-11-05,2008.0,1684.0,596416.0,seven pounds - in theaters 12.19.08,43.0
public enemies,11322.0,2009-07-01,2009.0,2009-06-29,2009.0,1533.0,442507.0,public enemies - theatrical trailer,2.0
space chimps,11802.0,2008-06-25,2008.0,2008-04-16,2008.0,498.0,95958.0,space chimps | theatrical trailer | 20th century fox,70.0
saw v,11917.0,2008-10-23,2008.0,2008-10-23,2008.0,5695.0,3024072.0,saw v (2008) - 'behind the scenes of saw v' featurette,0.0
step brothers,12133.0,2008-07-25,2008.0,2008-03-14,2008.0,6550.0,2075375.0,watch the trailer for step brothers,133.0
alice in wonderland,12155.0,2010-03-03,2010.0,2009-07-24,2009.0,18866.0,10434406.0,alice in wonderland teaser 1,222.0
edge of darkness,12201.0,2010-01-28,2010.0,2010-01-08,2010.0,32.0,27539.0,edge of darkness tv spot 1,20.0
9,12244.0,2009-08-19,2009.0,2008-12-11,2008.0,10788.0,6954036.0,my bloody valentine 3d (2009) - official trailer #2,251.0
a perfect getaway,12403.0,2009-06-08,2009.0,2009-06-30,2009.0,798.0,389930.0,a perfect getaway - theatrical trailer,-22.0
underworld: rise of the lycans,12437.0,2009-01-22,2009.0,2008-10-28,2008.0,1659.0,397935.0,watch the underworld: rise of the lycans trailer,86.0
the house bunny,12620.0,2008-08-22,2008.0,2008-04-14,2008.0,7773.0,2933668.0,"watch the trailer for ""the house bunny""",130.0
alpha and omega,12819.0,2010-09-16,2010.0,2010-09-14,2010.0,200.0,67349.0,alpha and omega (2010) - 'marcel and humphrey',2.0
punisher: war zone,13056.0,2008-12-05,2008.0,2008-11-12,2008.0,5278.0,3589824.0,punisher: war zone (2008) - official trailer #1,23.0
lakeview terrace,13279.0,2008-09-19,2008.0,2008-04-14,2008.0,1841.0,867483.0,"watch the trailer for ""lakeview terrace""",158.0
transporter 3,13387.0,2008-11-26,2008.0,2008-10-22,2008.0,8846.0,7781912.0,transporter 3 (2008) - official trailer - jason statham,35.0
angels & demons,13448.0,2009-05-13,2009.0,2009-03-19,2009.0,5020.0,1795440.0,angels & demons - in theaters 5/15/09,55.0
mirrors,13515.0,2008-08-15,2008.0,2008-07-25,2008.0,24270.0,8942029.0,mirrors | trailer | 20th century fox,21.0
this is it,13576.0,2009-10-28,2009.0,2009-09-14,2009.0,43418.0,3589790.0,michael jackson's this is it official hd trailer,44.0
quarantine,13812.0,2008-10-10,2008.0,2008-07-21,2008.0,897.0,244934.0,"watch the new trailer for ""quarantine""",81.0
race to witch mountain,13836.0,2009-03-12,2009.0,2009-01-30,2009.0,1582.0,569711.0,race to witch mountain - super bowl commercial,41.0
passengers,13944.0,2008-09-26,2008.0,2008-09-24,2008.0,492.0,313351.0,watch the passengers trailer. in theatres 10/24,2.0
up,14160.0,2009-05-28,2009.0,2009-11-11,2009.0,1268516.0,499728428.0,up on blu-ray and dvd!,-167.0
2012,14161.0,2009-10-10,2009.0,2009-06-24,2009.0,22912.0,6519132.0,2012 trailer #2,108.0
cadillac records,14299.0,2008-12-05,2008.0,2008-11-24,2008.0,212.0,60043.0,cadillac records - in theaters friday december 5th,11.0
my bloody valentine,14435.0,2009-01-16,2009.0,2008-12-11,2008.0,10788.0,6954036.0,my bloody valentine 3d (2009) - official trailer #2,36.0
paul blart: mall cop,14560.0,2009-01-15,2009.0,2008-11-24,2008.0,2122.0,344585.0,paul blart: mall cop - watch the trailer,52.0
rings,14564.0,2017-02-01,2017.0,2017-01-23,2017.0,180261.0,24084826.0,rings (2017) - tv store prank,9.0
crank: high voltage,15092.0,2009-04-16,2009.0,2009-01-27,2009.0,11643.0,4696871.0,crank: high voltage (2009) - official trailer,79.0
where the wild things are,16523.0,2009-10-16,2009.0,2009-06-16,2009.0,6353.0,1101859.0,where the wild things are trailer # 1,122.0
planet 51,16866.0,2009-11-19,2009.0,2009-06-15,2009.0,3994.0,1156488.0,planet 51 - trailer #1,157.0
12 rounds,17134.0,2009-03-19,2009.0,2009-03-26,2009.0,1566.0,366245.0,12 rounds | trailer | 20th century fox,-7.0
obsessed,17335.0,2009-02-26,2009.0,2008-12-20,2008.0,3547.0,1099368.0,watch the trailer for obsessed - in theaters 4/24/09,68.0
the adventures of tintin,17578.0,2011-10-24,2011.0,2011-05-20,2011.0,1427.0,290743.0,watch the international trailer for the adventures of tintin,157.0
year one,17610.0,2009-06-18,2009.0,2009-06-10,2009.0,3526.0,1349072.0,year one - trailer,8.0
district 9,17654.0,2009-08-05,2009.0,2009-06-08,2009.0,30787.0,6899128.0,district 9 - official trailer (hd),58.0
fired up!,17927.0,2009-02-20,2009.0,2009-02-04,2009.0,1542.0,843899.0,watch the hd trailer for fired up!  in theaters friday 2/20,16.0
a christmas carol,17979.0,2009-11-04,2009.0,2009-09-16,2009.0,13349.0,5086628.0,jim carreys a christmas carol official trailer,49.0
the proposal,18240.0,2009-06-01,2009.0,2009-06-10,2009.0,3904.0,1000720.0,the proposal - hd trailer,-9.0
gamer,18501.0,2009-09-03,2009.0,2009-07-31,2009.0,19.0,55941.0,gamer - society ar girls,34.0
the haunting in connecticut,18781.0,2009-03-27,2009.0,2008-10-22,2008.0,13109.0,5399850.0,the haunting in connecticut (2009) - official trailer,156.0
the hangover,18785.0,2009-06-02,2009.0,2009-06-11,2009.0,1135.0,823578.0,the hangover trailer #2,-9.0
clash of the titans,18823.0,2010-03-31,2010.0,2010-03-18,2010.0,82.0,122003.0,clash of the titans tv spot 4,13.0
g-force,19585.0,2009-07-24,2009.0,2009-04-23,2009.0,1640.0,1668021.0,g-force official extended trailer (hd!),92.0
couples retreat,19899.0,2009-09-19,2009.0,2009-07-02,2009.0,876.0,545595.0,couples retreat - theatrical trailer,79.0
daybreakers,19901.0,2009-10-01,2009.0,2009-06-26,2009.0,7910.0,2603990.0,daybreakers (2010) - official trailer #1,97.0
the stepfather,19904.0,2009-10-16,2009.0,2009-09-16,2009.0,44.0,41676.0,"check out the ""too friendly"" tv spot from the stepfather",30.0
zombieland,19908.0,2009-10-07,2009.0,2009-06-24,2009.0,41790.0,7717099.0,zombieland official trailer #1,105.0
the final destination,19912.0,2009-08-26,2009.0,2009-08-21,2009.0,150.0,36176.0,the final destination 4 tv spot 26,5.0
surrogates,19959.0,2009-09-24,2009.0,2009-06-10,2009.0,1735.0,724761.0,surrogates - hd trailer,106.0
jennifer's body,19994.0,2009-09-18,2009.0,2009-09-11,2009.0,20981.0,3472470.0,jennifer's body | official trailer | 20th century fox,7.0
avatar,19995.0,2009-12-15,2009.0,2009-11-09,2009.0,80284.0,12534695.0,avatar | official trailer (hd) | 20th century fox,36.0
ayan,20049.0,2009-04-03,2009.0,2009-11-04,2009.0,659.0,318113.0,2012 - mayan prophecy featurette,-215.0
despicable me,20352.0,2010-07-08,2010.0,2009-12-22,2009.0,20467.0,8012158.0,despicable me - teaser trailer #3,198.0
tron: legacy,20526.0,2010-12-14,2010.0,2010-03-09,2010.0,49742.0,14860375.0,tron: legacy official trailer,280.0
jonah hex,20533.0,2010-06-18,2010.0,2010-06-04,2010.0,83.0,18838.0,jonah hex trailer 1,14.0
robin hood,20662.0,2010-05-12,2010.0,2010-02-04,2010.0,215.0,547163.0,robin hood - super bowl spot - outlaw,97.0
funny people,20829.0,2009-07-30,2009.0,2009-06-30,2009.0,2089.0,978408.0,funny people - trailer,30.0
the ugly truth,20943.0,2009-07-24,2009.0,2009-06-10,2009.0,24871.0,6890454.0,the ugly truth - official trailer,44.0
orphan,21208.0,2009-07-24,2009.0,2009-06-11,2009.0,33663.0,4082782.0,orphan trailer # 1,43.0
scott pilgrim vs. the world,22538.0,2010-08-12,2010.0,2010-05-28,2010.0,56512.0,4919805.0,scott pilgrim vs. the world - official trailer,76.0
cloudy with a chance of meatballs,22794.0,2009-09-17,2009.0,2009-03-19,2009.0,7565.0,2583717.0,cloudy with a chance of meatballs - official trailer #1,182.0
saw vi,22804.0,2009-10-16,2009.0,2009-10-22,2009.0,1609.0,995931.0,saw vi (2009) - official trailer #2,-6.0
the box,22825.0,2009-09-17,2009.0,2009-10-15,2009.0,32.0,41597.0,the box spot 5,-28.0
ninja assassin,22832.0,2009-09-29,2009.0,2009-11-18,2009.0,17.0,12011.0,ninja assassin spot 7,-50.0
the blind side,22881.0,2009-11-20,2009.0,2009-11-20,2009.0,664.0,251351.0,"the blind side ""inspirational"" featurette",0.0
legion,22894.0,2010-01-21,2010.0,2009-08-17,2009.0,8796.0,2482038.0,watch the new legion trailer - in theaters 1/22/10,157.0
it's complicated,22897.0,2009-12-23,2009.0,2009-12-09,2009.0,246.0,455078.0,it's complicated - look inside,14.0
takers,22907.0,2010-08-26,2010.0,2009-09-11,2009.0,4385.0,1065027.0,watch the official takers trailer - in theaters 8/27/2010,349.0
old dogs,22949.0,2009-11-24,2009.0,2009-06-19,2009.0,3302.0,2243458.0,old dogs  official theatrical trailer,158.0
invictus,22954.0,2009-12-10,2009.0,2009-11-18,2009.0,1023.0,381063.0,invictus,22.0
the cabin in the woods,22970.0,2012-04-12,2012.0,2012-03-07,2012.0,1255.0,306621.0,the cabin in the woods (2012) - official trailer #2,36.0
dear john,22971.0,2010-02-04,2010.0,2009-10-17,2009.0,51706.0,13454266.0,dear john - official trailer (hd),110.0
green zone,22972.0,2010-03-11,2010.0,2009-10-30,2009.0,4116.0,2049761.0,green zone - theatrical trailer,132.0
tooth fairy,23023.0,2010-01-14,2010.0,2009-10-02,2009.0,9655.0,3828919.0,the tooth fairy | official trailer (hd) | 20th century fox,104.0
hot tub time machine,23048.0,2010-03-26,2010.0,2009-12-17,2009.0,1329.0,517593.0,hot tub time machine  official trailer,99.0
the town,23168.0,2010-09-15,2010.0,2010-08-25,2010.0,358.0,200972.0,the town - tv spot # 6,21.0
the spy next door,23172.0,2010-01-15,2010.0,2009-11-02,2009.0,3019.0,821210.0,the spy next door (2010) - official trailer,74.0
alvin and the chipmunks: the squeakquel,23398.0,2009-12-21,2009.0,2009-06-17,2009.0,7089.0,7742574.0,alvin and the chipmunks: the squeakquel | singing logo intro | 20th century fox,187.0
a nightmare on elm street,23437.0,2010-04-30,2010.0,2010-02-26,2010.0,24637.0,3133657.0,a nightmare on elm street,63.0
kick-ass,23483.0,2010-03-22,2010.0,2010-04-09,2010.0,164598.0,20196953.0,kick-ass (2010) - 'birthday present',-18.0
sucker punch,23629.0,2011-03-24,2011.0,2011-04-01,2011.0,16572.0,2405691.0,sucker punch -  soundtrack sweet dreams,-8.0
machete,23631.0,2010-09-01,2010.0,2010-07-10,2010.0,564.0,204337.0,machete kills | official trailer hd | 20th century fox,53.0
all about steve,23706.0,2009-08-06,2009.0,2009-08-05,2009.0,7028.0,2556376.0,all about steve | trailer (hd) | 20th century fox,1.0
cop out,23742.0,2010-02-26,2010.0,2010-02-03,2010.0,131.0,142244.0,cop out tv spot 3,23.0
cirque du freak: the vampire's assistant,24418.0,2009-10-23,2009.0,2009-08-18,2009.0,1781.0,394753.0,cirque du freak: the vampire's assistant - theatrical trailer,66.0
did you hear about the morgans?,24438.0,2009-12-17,2009.0,2009-08-17,2009.0,449.0,339882.0,did you hear about the morgans? trailer - in theaters 12/18,122.0
julie & julia,24803.0,2009-08-06,2009.0,2009-06-10,2009.0,11967.0,2726000.0,julie & julia - official trailer (hd),57.0
shorts,25132.0,2009-08-21,2009.0,2009-06-13,2009.0,4627.0,777054.0,shorts trailer #1,69.0
leap year,25195.0,2010-01-08,2010.0,2009-11-18,2009.0,575.0,393645.0,leap year - theatrical trailer,51.0
ninja,25602.0,2009-10-22,2009.0,2009-11-18,2009.0,17.0,12011.0,ninja assassin spot 7,-27.0
love happens,25643.0,2009-09-18,2009.0,2009-06-30,2009.0,693.0,550856.0,love happens - theatrical trailer,80.0
precious,25793.0,2009-11-06,2009.0,2009-05-20,2009.0,3325.0,474069.0,precious (2009) - official trailer,170.0
buried,26388.0,2010-09-24,2010.0,2010-07-22,2010.0,688.0,406766.0,buried (2010) - official trailer,64.0
from paris with love,26389.0,2010-02-04,2010.0,2010-01-12,2010.0,1090.0,697322.0,from paris with love (2010) - official trailer #2,23.0
the sorcerer's apprentice,27022.0,2010-07-13,2010.0,2010-07-13,2010.0,49307.0,12179753.0,"the sorcerer's apprentice - ""secrets"" by onerepublic",0.0
inception,27205.0,2010-07-15,2010.0,2010-01-09,2010.0,1140.0,495560.0,inception,187.0
the bounty hunter,27573.0,2010-03-16,2010.0,2009-12-18,2009.0,3261.0,1464451.0,the bounty hunter - in theaters 3/19,88.0
salt,27576.0,2010-07-21,2010.0,2009-11-06,2009.0,21382.0,9422680.0,salt - official trailer,257.0
the expendables,27578.0,2010-08-03,2010.0,2010-08-03,2010.0,16055.0,3580940.0,the expendables (2010) - 'austin fights stallone' behind the scenes episode #4,0.0
the other guys,27581.0,2010-08-06,2010.0,2010-04-12,2010.0,22169.0,9104111.0,the other guys - official trailer (hd),116.0
fame,28665.0,2009-09-23,2009.0,2009-09-15,2009.0,37346.0,9657115.0,fame music video,8.0
repo men,31867.0,2010-03-18,2010.0,2010-01-07,2010.0,781.0,509925.0,repo men - trailer,70.0
percy jackson & the olympians: the lightning thief,32657.0,2010-02-01,2010.0,2009-07-15,2009.0,1446.0,437352.0,percy jackson & the olympians: the lightning thief | trailer | 20th century fox,201.0
get him to the greek,32823.0,2010-06-03,2010.0,2010-02-13,2010.0,525.0,504578.0,get him to the greek - trailer,110.0
valentine's day,32856.0,2010-02-10,2010.0,2010-01-09,2010.0,365.0,128817.0,valentine's day,32.0
tidal wave,33196.0,2009-06-06,2009.0,2009-10-20,2009.0,324.0,329901.0,2012 special effects vlog - tidal waves,-136.0
wall street: money never sleeps,33909.0,2010-09-20,2010.0,2010-02-22,2010.0,7592.0,1135164.0,wall street: money never sleeps | official trailer (hd) | 20th century fox,210.0
death at a funeral,34803.0,2010-04-15,2010.0,2009-12-07,2009.0,8174.0,2605356.0,watch the death at a funeral trailer - in theaters 4/16/10,129.0
the losers,34813.0,2010-04-23,2010.0,2010-02-25,2010.0,376.0,275751.0,the losers,57.0
predators,34851.0,2010-07-03,2010.0,2010-07-10,2010.0,3300.0,655191.0,predators | official trailer hd | 20th century fox,-7.0
date night,35056.0,2010-04-08,2010.0,2009-11-12,2009.0,7367.0,5281067.0,date night | official trailer (hd) | 20th century fox,147.0
why did i get married too?,35688.0,2010-04-02,2010.0,2010-02-02,2010.0,2536.0,533346.0,why did i get married too? theatrical trailer,59.0
the last song,35690.0,2010-03-31,2010.0,2009-11-24,2009.0,941.0,299852.0,the last song,127.0
resident evil: afterlife,35791.0,2010-09-09,2010.0,2010-06-23,2010.0,3447.0,815234.0,official resident evil: afterlife trailer in hd,78.0
conan the barbarian,37430.0,2011-08-17,2011.0,2011-05-06,2011.0,12530.0,12097869.0,"conan the barbarian (2011) - official trailer - ""a legend will rise""",103.0
super 8,37686.0,2011-06-08,2011.0,2011-12-10,2011.0,747.0,61077.0,"super 8 score: behind the scenes with michael giacchino, j.j. abrams and steven spielberg",-185.0
the tourist,37710.0,2010-12-08,2010.0,2010-12-22,2010.0,2147.0,933910.0,the tourist outtakes reel,-14.0
easy a,37735.0,2010-09-16,2010.0,2010-05-13,2010.0,37733.0,10951708.0,easy a - official trailer,126.0
sex and the city 2,37786.0,2010-05-26,2010.0,2010-05-12,2010.0,3196.0,7290312.0,sex and the city 2 tv spot,14.0
the social network,37799.0,2010-10-01,2010.0,2010-07-16,2010.0,83168.0,15282733.0,the social network - official trailer [2010] (hd),77.0
killers,37821.0,2010-06-04,2010.0,2010-02-12,2010.0,2794.0,1274767.0,killers (2010) - official trailer #1,112.0
knight and day,37834.0,2010-06-15,2010.0,2010-01-09,2010.0,33994.0,5835296.0,knight and day | official trailer (hd) | 20th century fox,157.0
macgruber,37931.0,2010-05-21,2010.0,2010-04-27,2010.0,532.0,482713.0,macgruber - trailer,24.0
charlie st. cloud,37950.0,2010-07-30,2010.0,2010-05-17,2010.0,1619.0,591156.0,charlie st. cloud - trailer,74.0
the adjustment bureau,38050.0,2011-03-03,2011.0,2011-02-04,2011.0,99.0,402168.0,universal pictures - the adjustment bureau,27.0
going the distance,38073.0,2010-08-27,2010.0,2010-08-24,2010.0,227.0,107406.0,going the distance official trailer #3,3.0
eat pray love,38167.0,2010-08-12,2010.0,2010-03-18,2010.0,21148.0,6988322.0,watch the official eat pray love trailer in hd,147.0
zookeeper,38317.0,2011-07-06,2011.0,2011-05-16,2011.0,929.0,701251.0,watch the trailer for zookeeper - in theaters 7/8,51.0
your highness,38319.0,2011-04-08,2011.0,2010-12-22,2010.0,913.0,538374.0,your highness - trailer,107.0
priest,38321.0,2011-05-05,2011.0,2010-09-15,2010.0,10339.0,3732838.0,official priest trailer - in theaters 5/13/2011,232.0
"big mommas: like father, like son",38322.0,2011-02-16,2011.0,2010-11-19,2010.0,375.0,207609.0,"big mommas: like father, like son | trailer | 20th century fox",89.0
the last exorcism,38358.0,2010-08-27,2010.0,2010-08-06,2010.0,200.0,278928.0,the last exorcism (2010) - official trailer #2,21.0
grown ups,38365.0,2010-06-24,2010.0,2010-04-21,2010.0,15158.0,6888123.0,official grown ups trailer  - in theaters 6/25,64.0
life as we know it,38408.0,2010-10-02,2010.0,2010-10-05,2010.0,221.0,325873.0,life as we know it - katherine heigl featurette,-3.0
the karate kid,38575.0,2010-06-10,2010.0,2010-02-25,2010.0,38818.0,18219799.0,the karate kid - official trailer (hd),105.0
marmaduke,38579.0,2010-06-03,2010.0,2009-12-22,2009.0,548.0,718561.0,marmaduke | teaser trailer (hd) | 20th century fox,163.0
bad boys for life,38700.0,2020-01-15,2020.0,2019-09-04,2019.0,142666.0,17198494.0,bad boys for life - official trailer,133.0
tangled,38757.0,2010-11-24,2010.0,2010-09-15,2010.0,8598.0,3872422.0,tangled - official trailer 2,70.0
ramona and beezus,38843.0,2010-07-23,2010.0,2010-03-19,2010.0,7405.0,1185286.0,ramona and beezus - official trailer (hd) - in theaters july 23,126.0
little fockers,39451.0,2010-12-21,2010.0,2010-08-20,2010.0,386.0,560668.0,little fockers - international trailer,123.0
secretariat,39486.0,2010-08-20,2010.0,2010-04-28,2010.0,4989.0,2448260.0,secretariat trailer,114.0
paul,39513.0,2011-02-14,2011.0,2010-10-21,2010.0,422.0,453874.0,paul - international trailer,116.0
red,39514.0,2010-10-13,2010.0,2009-02-04,2009.0,1542.0,843899.0,watch the hd trailer for fired up!  in theaters friday 2/20,616.0
contagion,39538.0,2011-09-08,2011.0,2011-07-14,2011.0,4130.0,1086702.0,contagion trailer,56.0
vampires suck,40264.0,2010-08-18,2010.0,2010-07-10,2010.0,13843.0,1734652.0,official vampires suck | trailer hd | 20th century fox,39.0
the green hornet,40805.0,2011-01-12,2011.0,2010-06-23,2010.0,6877.0,2909835.0,watch the official the green hornet trailer in hd,203.0
men in black 3,41154.0,2012-05-23,2012.0,2011-12-11,2011.0,73830.0,18463359.0,men in black 3 - official trailer (hd),164.0
saw 3d,41439.0,2010-10-21,2010.0,2010-09-01,2010.0,411.0,83789.0,saw 3d (2010) - teaser trailer,50.0
the smurfs,41513.0,2011-07-29,2011.0,2011-03-11,2011.0,6323.0,3539512.0,the smurfs - trailer,140.0
yogi bear,41515.0,2010-12-17,2010.0,2010-11-03,2010.0,859.0,455724.0,yogi bear - trailer 3,44.0
due date,41733.0,2010-11-04,2010.0,2010-09-17,2010.0,511.0,121132.0,due date main trailer,48.0
catfish,42296.0,2010-09-17,2010.0,2010-08-05,2010.0,3430.0,1597354.0,catfish - trailer,43.0
burlesque,42297.0,2010-11-23,2010.0,2010-09-30,2010.0,7574.0,4671781.0,official burlesque trailer - in theaters 11/24,54.0
skyline,42684.0,2010-11-11,2010.0,2010-10-14,2010.0,5175.0,1797027.0,skyline - theatrical trailer,28.0
bo,42748.0,2010-02-10,2010.0,2010-10-08,2010.0,8058.0,5188991.0,"toy story 3"" bonus feature preview ""day & night""",-240.0
how do you know,42888.0,2010-12-17,2010.0,2010-08-13,2010.0,4222.0,2228211.0,the official how do you know trailer,126.0
the virginity hit,42889.0,2010-09-24,2010.0,2010-08-26,2010.0,24.0,36893.0,the virginity hit - in theaters 9/10,29.0
ghostbusters,43074.0,2016-07-14,2016.0,2016-03-03,2016.0,327476.0,48190105.0,ghostbusters - official trailer (hd),133.0
the next three days,43539.0,2010-11-18,2010.0,2010-11-09,2010.0,661.0,257667.0,the next three days (2010) - 'staying free' tv spot,9.0
my soul to take,43931.0,2010-10-08,2010.0,2010-08-18,2010.0,2778.0,1486081.0,my soul to take - trailer,51.0
monsters,43933.0,2010-06-18,2010.0,2010-10-19,2010.0,53684.0,7708588.0,"monsters, inc. ""put that thing back where it came from, or so help me!""",-123.0
flipped,43949.0,2010-08-06,2010.0,2010-06-04,2010.0,15321.0,1618661.0,flipped movie trailer,63.0
devil,44040.0,2010-09-16,2010.0,2010-07-14,2010.0,11342.0,3316570.0,devil - trailer,64.0
unstoppable,44048.0,2010-11-04,2010.0,2010-01-14,2010.0,41.0,32109.0,from paris with love (2010) - 'unstoppable' tv spot,294.0
stone,44113.0,2010-10-07,2010.0,2009-11-12,2009.0,123.0,39312.0,"2012 special effects vlog - ""yellowstone eruption""",329.0
the dilemma,44564.0,2011-01-13,2011.0,2010-10-09,2010.0,565.0,763826.0,the dilemma - trailer,96.0
hereafter,44603.0,2010-10-22,2010.0,2010-09-13,2010.0,80.0,40221.0,hereafter,39.0
hugo,44826.0,2011-11-22,2011.0,2011-09-28,2011.0,6627.0,1239023.0,"official ""hugo"" trailer- in theaters november 23",55.0
battleship,44833.0,2012-04-11,2012.0,2011-12-12,2011.0,1042.0,584698.0,battleship - official global trailer,121.0
green lantern,44912.0,2011-06-16,2011.0,2011-05-04,2011.0,12345.0,1903252.0,green lantern - trailer,43.0
battle: los angeles,44943.0,2011-03-08,2011.0,2011-01-13,2011.0,8902.0,2226049.0,battle: los angeles - trailer,54.0
trust,44945.0,2010-09-10,2010.0,2010-08-09,2010.0,37.0,25473.0,takers- trust,32.0
super,45132.0,2010-11-26,2010.0,2009-01-30,2009.0,1124.0,802644.0,up - super bowl commercial,665.0
the hangover part ii,45243.0,2011-05-25,2011.0,2011-03-31,2011.0,20230.0,5381838.0,the hangover part ii - trailer,55.0
country strong,45272.0,2010-12-22,2010.0,2010-12-16,2010.0,5612.0,1413684.0,"watch gwyneth paltrow perform ""shake that thing"" from country strong",6.0
rio,46195.0,2011-04-03,2011.0,2010-05-21,2010.0,8745.0,11030128.0,rio | trailer | 20th century fox,317.0
independence day: resurgence,47933.0,2016-06-22,2016.0,2015-12-13,2015.0,107924.0,28394793.0,independence day: resurgence | official trailer [hd] | 20th century fox,192.0
a good day to die hard,47964.0,2013-02-06,2013.0,2013-05-14,2013.0,113.0,437842.0,a good day to die hard digitalhd™ promo (adult swim) | 20th century fox,-97.0
xxx: return of xander cage,47971.0,2017-01-13,2017.0,2016-11-01,2016.0,14643.0,14170029.0,xxx: return of xander cage - trailer (2017) - paramount pictures,73.0
unknown,48138.0,2011-02-16,2011.0,2010-10-22,2010.0,7833.0,2620141.0,unknown - trailer,117.0
the rite,48171.0,2011-01-28,2011.0,2010-12-10,2010.0,2349.0,514905.0,the rite - main trailer,49.0
sanctum,48340.0,2011-02-03,2011.0,2010-10-28,2010.0,12634.0,2847232.0,sanctum - trailer,98.0
hall pass,48988.0,2011-02-25,2011.0,2010-11-05,2010.0,1159.0,319665.0,hall pass - trailer,112.0
arthur,49012.0,2011-04-08,2011.0,2011-10-03,2011.0,6648.0,3888706.0,arthur christmas - official trailer - in theaters 11/23,-178.0
cars 2,49013.0,2011-06-11,2011.0,2011-05-24,2011.0,131053.0,74506151.0,cars 2: japan race - clip,18.0
